,Movie Title,Genre,IMDB Rating,Release Year,Director,Lead Star Cast,Synopsis,Mood
0,Inception,Sci-Fi,8.7,2002,Bryan Singer,Michael Fassbender,A blockbuster Sci-Fi masterpiece featuring a star-studded cast and breathtaking action sequences.,unbreakable
1,John Wick: Chapter 4,Drama,9.2,2011,Steven Spielberg,Keanu Reeves,A mesmerizing Drama story that explores the depths of human emotions and resilience.,9.5 3/10
2,Django Unchained,Fantasy,7.1,1997,Patty Jenkins,Brad Pitt,"A classic tale of love, loss, and redemption, set in a Fantasy world of intrigue.",unromantic
3,X-Men: First Class,Drama,8.6,1989,Denis Villeneuve,Tom Hanks,"A gripping tale of adventure and mystery, following a Drama journey like never before.",mature
4,Tron: Legacy,Comedy,7.9,1986,J.J. Abrams,Robert Downey Jr.,"A classic tale of love, loss, and redemption, set in a Comedy world of intrigue.",good or bad
5,The Shining,Sci-Fi,9.4,2008,Zack Snyder,Jennifer Lawrence,A blockbuster Sci-Fi masterpiece featuring a star-studded cast and breathtaking action sequences.,"darker than it looks at a dead girl, all in the name of goodness, darker than it looks at a dead girl, and darker than it looks at a dead girl"
6,Star Wars: A New Hope,Action,9.1,2024,James Cameron,Viola Davis,"A gripping tale of adventure and mystery, following a Action journey like never before.","4.5/5 a well-written movie that blends science, tragedy, adventure, suspense, and humor. it features a cast of exciting characters."
7,Paranormal Activity,Sci-Fi,5.6,2009,Greta Gerwig,Chris Pratt,A thought-provoking Sci-Fi film that challenges perceptions of reality.,favorable:
8,The Shawshank Redemption,Comedy,8.4,2016,Francis Ford Coppola,Natalie Portman,A blockbuster Comedy masterpiece featuring a star-studded cast and breathtaking action sequences.,b+
9,The Ring,Adventure,7.9,1990,George Lucas,Benedict Cumberbatch,"A classic tale of love, loss, and redemption, set in a Adventure world of intrigue.",adventure.
10,Frozen,Animation,6.3,2004,David Fincher,Angelina Jolie,"A gripping tale of adventure and mystery, following a Animation journey like never before.","fantasy, action, magic, or fun fantasy"
11,Harry Potter and the Prisoner of Azkaban,Action,7.0,2010,Peter Jackson,Jennifer Lawrence,A blockbuster Action masterpiece featuring a star-studded cast and breathtaking action sequences.,"happy, suspenseful, exciting, cute, cool"
